NAME,TAXON_NAME,ACTIVE_DATA_ENTRY,TAXON_GROUP_CLASS,FAMILY,RANK,MAITLAND_CODE,CEH_CODE,CEH_NAME,AQEM_CODE,NBN_CODE,RED_BOOK_TEXT,AUTHORITY,ALT_TAXONNAME_1,ALT_TAXONNAME_2,ALT_TAXONNAME_3,LAMM_ACID_SENS,LAMM_WEIGHTING,LAMM_TAXON,LAMM_TL,AWIC_A,AWIC_B,AWIC_C,AWIC_TAXON,BMWP,WHPT_P,WHPT_A,WHPT_B,WHPT_C,WHPT_D,PSI_GROUP,EPSI_WEIGHT_TL5,EPSI_WEIGHT_FAM,LIFE_GROUP,SPEAR_SPECIES,TL5_TAXON,TL4_TAXON,TL3_TAXON,TL2_TAXON,TL1_TAXON,TL2_5_TAXON,TL2_5_ORDER,ECN_TL,DISPLAY_GROUP,ENTRY_SCREEN,CHANGED_ON,CHANGED_BY,GROUP_NAME,REMOVED
1,Protozoa,T,protozoan,,Class,1000000,1000000,Protozoa,,NHMSYS0000842087,,,,,,,,,F,,,,,0,,,,,,,,,,F,,,,,,,,F,,,13/10/2015 10:22,SYS_GR,DEFAULT,F
2,Opalinata,T,protozoan,,Family,1200000,1200000,Opalinata,,NBNSYS0100014057,,,,,,,,,F,,,,,0,,,,,,,,,,F,,,,,,,,F,,,13/10/2015 10:22,SYS_GR,DEFAULT,F
3,Sarcodina,T,protozoan,,Family,1300000,1300000,Sarcodina,,NBNSYS0100015089,,,,,,,,,F,,,,,0,,,,,,,,,,F,,,,,,,,F,,,13/10/2015 10:22,SYS_GR,DEFAULT,F
4,Sporozoa,T,protozoan,,Family,1400000,1400000,Sporozoa,,NBNSYS0100015419,,,,,,,,,F,,,,,0,,,,,,,,,,F,,,,,,,,F,,,13/10/2015 10:22,SYS_GR,DEFAULT,F
5,Porifera,T,Porifera,,Class,2000000,2000000,Porifera,10633,NHMSYS0000842031,,,,,,,,,F,,,,,0,,,,,,,,,,F,,,,,,,,F,,,13/10/2015 10:22,SYS_GR,DEFAULT,F
6,Demospongea,T,Porifera,,Family,2100000,2100000,Demospongea,,NBNSYS0100011233,,,,,,,,,F,,,,,0,,,,,,,,,,F,,,,,,,,F,,,13/10/2015 10:22,SYS_GR,DEFAULT,F
7,Spongillidae,T,Porifera,Spongillidae,Family,2110000,2110000,Spongillidae,8846,NBNSYS0000161044,,,,,,,,,F,,,,,0,,,,,,B,,,,F,,Spongillidae,Spongillidae,,,,,F,,,13/10/2015 10:22,SYS_GR,DEFAULT,F
8,Spongilla,T,Porifera,Spongillidae,Genus,2110100,2110100,Spongilla,,NBNSYS0000137942,,,,,,,,,F,,,,,0,,,,,,,,,,F,,Spongillidae,Spongillidae,,,,,F,,,13/10/2015 10:22,SYS_GR,DEFAULT,F
9,Spongilla lacustris,T,Porifera,Spongillidae,Species,2110101,2110101,Spongilla lacustris,6894,NBNSYS0000022283,,(Linnaeus),,,,,,,F,,,,,0,,,,,,,,,,F,,Spongillidae,Spongillidae,,,,,F,,,13/10/2015 10:22,SYS_GR,DEFAULT,F
10,Eunapius,T,Porifera,Spongillidae,Genus,2110200,2110200,Eunapius,,NBNSYS0100011795,,,,,,,,,F,,,,,0,,,,,,,,,,F,,Spongillidae,Spongillidae,,,,,F,,,13/10/2015 10:22,SYS_GR,DEFAULT,F
11,Eunapius fragilis,T,Porifera,Spongillidae,Species,2110201,2110201,Eunapius fragilis,5238,NBNSYS0100011796,,"(Leidy, 1851)",,,,,,,F,,,,,0,,,,,,,,,,F,,Spongillidae,Spongillidae,,,,,F,,,13/10/2015 10:22,SYS_GR,DEFAULT,F
12,Ephydatia,T,Porifera,Spongillidae,Genus,2110300,2110300,Ephydatia,,NBNSYS0000132876,,,,,,,,,F,,,,,0,,,,,,,,,,F,,Spongillidae,Spongillidae,,,,,F,,,13/10/2015 10:22,SYS_GR,DEFAULT,F
13,Ephydatia fluviatilis,T,Porifera,Spongillidae,Species,2110301,2110301,Ephydatia fluviatilis,5140,NBNSYS0000022284,,"(Linnaeus, 1759)",,,,,,,F,,,,,0,,,,,,,,,,F,,Spongillidae,Spongillidae,,,,,F,,,13/10/2015 10:22,SYS_GR,DEFAULT,F
14,Ephydatia mulleri,T,Porifera,Spongillidae,Species,2110302,2110302,Ephydatia mulleri,,NBNSYS0100011574,,(Lieberkühn 1855),,,,,,,F,,,,,0,,,,,,,,,,F,,Spongillidae,Spongillidae,,,,,F,,,13/10/2015 10:22,SYS_GR,DEFAULT,F
15,Racekiela,T,Porifera,Spongillidae,Genus,2110400,2110400,Racekiela,,NHMSYS0020706570,,,Anheteromeyenia,,,,,,F,,,,,0,,,,,,,,,,F,,Spongillidae,Spongillidae,,,,,F,,,13/10/2015 10:22,SYS_GR,DEFAULT,F
16,Racekiela ryderi,T,Porifera,Spongillidae,Species,2110401,2110401,Racekiela ryderi,,NHMSYS0020706571,,"(Potts, 1882)",Anheteromeyenia ryderi,,,,,,F,,,,,0,,,,,,,,,,F,,Spongillidae,Spongillidae,,,,,F,,,13/10/2015 10:22,SYS_GR,DEFAULT,F
17,Coelenterata,T,Coelenterate,,Class,3000000,3000000,Coelenterata,10632,NHMSYS0000842035,,,,,,,,,F,,,,,0,,,,,,,,,,F,,,,,,,,F,,,13/10/2015 10:22,SYS_GR,DEFAULT,F
18,Hydroida,T,Coelenterate,,Family,3100000,3100000,Hydroida,,NHMSYS0000066203,,,,,,,,,F,,,,,0,,,,,,,,,,F,,,,,,,,F,,,13/10/2015 10:22,SYS_GR,DEFAULT,F
19,Hydridae,T,Coelenterate,Hydridae,Family,3110000,3110000,Hydridae,9354,NBNSYS0000160186,,,,,,,,,F,,,,,0,,,,,,,,,,F,,Hydridae,Hydridae,,,,,F,,,13/10/2015 10:22,SYS_GR,DEFAULT,F
20,Hydra,T,Coelenterate,Hydridae,Genus,3110100,3110100,Hydra,,NBNSYS0000039898,,,,,,,,,F,,,,,0,,,,,,,,,,F,,Hydridae,Hydridae,,,,,F,,,13/10/2015 10:22,SYS_GR,DEFAULT,F
21,Hydra attenuata,T,Coelenterate,Hydridae,Species,3110101,3110102,Hydra circumcincta,5500,NBNSYS0100012472,,Pallas,Hydra circumcincta,,,,,,F,,,,,0,,,,,,,,,,F,,Hydridae,Hydridae,,,,,F,,,13/10/2015 10:22,SYS_GR,DEFAULT,F
22,Hydra circumcincta,T,Coelenterate,Hydridae,Species,3110102,3110102,Hydra circumcincta,10459,NBNSYS0100012473,,"Schulze, 1914",,,,,,,F,,,,,0,,,,,,,,,,F,,Hydridae,Hydridae,,,,,F,,,13/10/2015 10:22,SYS_GR,DEFAULT,F
23,Hydra graysoni,T,Coelenterate,Hydridae,Species,3110103,3110103,Hydra graysoni,19119,NBNSYS0000022287,,"Maxwell, 1972",,,,,,,F,,,,,0,,,,,,,,,,F,,Hydridae,Hydridae,,,,,F,,,13/10/2015 10:22,SYS_GR,DEFAULT,F
24,Hydra oligactis,T,Coelenterate,Hydridae,Species,3110104,3110104,Hydra oligactis,5501,NBNSYS0100012474,,"Pallas, 1766",,,,,,,F,,,,,0,,,,,,,,,,F,,Hydridae,Hydridae,,,,,F,,,13/10/2015 10:22,SYS_GR,DEFAULT,F
25,Hydra viridissima,T,Coelenterate,Hydridae,Species,3110105,3110105,Hydra viridissima,5503,NBNSYS0000022286,,"Pallas, 1766",,,,,,,F,,,,,0,,,,,,,,,,F,,Hydridae,Hydridae,,,,,F,,,13/10/2015 10:22,SYS_GR,DEFAULT,F
26,Protohydridae,T,Coelenterate,Protohydridae,Family,3120000,3120000,Protohydridae,16837,NBNSYS0100014814,,,,,,,,,F,,,,,0,,,,,,,,,,F,,,,,,,,F,,,13/10/2015 10:22,SYS_GR,DEFAULT,F
27,Protohydra,T,Coelenterate,Protohydridae,Genus,3120100,3120100,Protohydra,,NBNSYS0000186127,,,,,,,,,F,,,,,0,,,,,,,,,,F,,,,,,,,F,,,13/10/2015 10:22,SYS_GR,DEFAULT,F
28,Protohydra leuckarti,T,Coelenterate,Protohydridae,Species,3120101,3120101,Protohydra leuckarti,16835,NBNSYS0000186128,,"Greef, 1870",,,,,,,F,,,,,0,,,,,,,,,,F,,,,,,,,F,,,13/10/2015 10:22,SYS_GR,DEFAULT,F
29,Clavidae,T,Coelenterate,Clavidae,Family,3130000,3130000,Clavidae,14649,NBNSYS0000159712,,,,,,,,,F,,,,,0,,,,,,,,,,F,,,,,,,,F,,,13/10/2015 10:22,SYS_GR,DEFAULT,F
30,Cordylophora,T,Coelenterate,Clavidae,Genus,3130100,3130100,Cordylophora,,NBNSYS0000188403,,"Allman, 1844",,,,,,,F,,,,,0,,,,,,,,,,F,,,,,,,,F,,,13/10/2015 10:22,SYS_GR,DEFAULT,F
31,Cordylophora caspia,T,Coelenterate,Clavidae,Species,3130101,3130101,Cordylophora caspia,4743,NBNSYS0000022288,,"(Pallas, 1766)",,,,,,,F,,,,,0,,,,,,,,,,F,,,,,,,,F,,,13/10/2015 10:22,SYS_GR,DEFAULT,F
32,Trachylina,T,Coelenterate,,Order,3200000,3200000,Trachylina,,NHMSYS0000066830,,,,,,,,,F,,,,,0,,,,,,,,,,F,,,,,,,,F,,,13/10/2015 10:22,SYS_GR,DEFAULT,F
33,Olindiidae,T,Coelenterate,Olindiidae,Family,3210000,3210000,Olindiidae,16838,NBNSYS0000160560,,,,,,,,,F,,,,,0,,,,,,,,,,F,,,,,,,,F,,,13/10/2015 10:22,SYS_GR,DEFAULT,F
34,Craspedacusta,T,Coelenterate,Olindiidae,Genus,3210100,3210100,Craspedacusta,,NBNSYS0000188406,,"Lankester, 1880",,,,,,,F,,,,,0,,,,,,,,,,F,,,,,,,,F,,,13/10/2015 10:22,SYS_GR,DEFAULT,F
35,Craspedacusta sowerbii,T,Coelenterate,Olindiidae,Species,3210101,3210101,Craspedacusta sowerbii,,NBNSYS0100010917,,Lankester,,,,,,,F,,,,,0,,,,,,,,,,F,,,,,,,,F,,,13/10/2015 10:22,SYS_GR,DEFAULT,F
36,Microturbellaria,T,Turbellaria,,Class,4000000,4000000,Microturbellaria,,NBNSYS0100013184,,,,,,,,,F,,,,,0,,,,,,,,,,F,,,,,,,,F,,,13/10/2015 10:22,SYS_GR,DEFAULT,F
37,Catenulida,T,Turbellaria,,Family,4100000,4100000,Catenulida,,NHMSYS0000842193,,,,,,,,,F,,,,,0,,,,,,,,,,F,,,,,,,,F,,,13/10/2015 10:22,SYS_GR,DEFAULT,F
38,Catenulidae,T,Turbellaria,Catenulidae,Family,4110000,4110000,Catenulidae,16794,NBNSYS0100009897,,,,,,,,,F,,,,,0,,,,,,,,,,F,,,,,,,,F,,,13/10/2015 10:22,SYS_GR,DEFAULT,F
39,Catenula,T,Turbellaria,Catenulidae,Genus,4110100,4110100,Catenula,,NBNSYS0100009894,,,,,,,,,F,,,,,0,,,,,,,,,,F,,,,,,,,F,,,13/10/2015 10:22,SYS_GR,DEFAULT,F
40,Catenula lemnae,T,Turbellaria,Catenulidae,Species,4110101,4110101,Catenula lemnae,4570,NBNSYS0100009895,,"Duges, 1832",,,,,,,F,,,,,0,,,,,,,,,,F,,,,,,,,F,,,13/10/2015 10:22,SYS_GR,DEFAULT,F
41,Stenostomidae,T,Turbellaria,Stenostomidae,Family,4120000,4120000,Stenostomidae,9373,NBNSYS0100015852,,,,,,,,,F,,,,,0,,,,,,,,,,F,,,,,,,,F,,,13/10/2015 10:22,SYS_GR,DEFAULT,F
42,Rhynchoscolex,T,Turbellaria,Stenostomidae,Genus,4120100,4120100,Rhynchoscolex,,NBNSYS0100015032,,,,,,,,,F,,,,,0,,,,,,,,,,F,,,,,,,,F,,,13/10/2015 10:22,SYS_GR,DEFAULT,F
43,Rhynchoscolex simplex,T,Turbellaria,Stenostomidae,Species,4120101,4120101,Rhynchoscolex simplex,,NBNSYS0100015033,,"Leidy, 1851",,,,,,,F,,,,,0,,,,,,,,,,F,,,,,,,,F,,,13/10/2015 10:22,SYS_GR,DEFAULT,F
44,Stenostomum,T,Turbellaria,Stenostomidae,Genus,4120200,4120200,Stenostomum,,NBNSYS0100015853,,,,,,,,,F,,,,,0,,,,,,,,,,F,,,,,,,,F,,,13/10/2015 10:22,SYS_GR,DEFAULT,F
45,Stenostomum anatirostrum,T,Turbellaria,Stenostomidae,Species,4120201,4120201,Stenostomum anatirostrum,,NBNSYS0100015854,,"Marcus, 1945",,,,,,,F,,,,,0,,,,,,,,,,F,,,,,,,,F,,,13/10/2015 10:22,SYS_GR,DEFAULT,F
46,Stenostomum grabbskogense,T,Turbellaria,Stenostomidae,Species,4120202,4120202,Stenostomum grabbskogense,,NBNSYS0100015855,,"Luther, 1960",,,,,,,F,,,,,0,,,,,,,,,,F,,,,,,,,F,,,13/10/2015 10:22,SYS_GR,DEFAULT,F
47,Stenostomum leucops,T,Turbellaria,Stenostomidae,Species,4120203,4120203,Stenostomum leucops,6917,NBNSYS0100015856,,"(Duges, 1828)",,,,,,,F,,,,,0,,,,,,,,,,F,,,,,,,,F,,,13/10/2015 10:22,SYS_GR,DEFAULT,F
48,Stenostomum unicolor,T,Turbellaria,Stenostomidae,Species,4120204,4120204,Stenostomum unicolor,6919,NBNSYS0100015857,,"Schmidt, 1848",,,,,,,F,,,,,0,,,,,,,,,,F,,,,,,,,F,,,13/10/2015 10:22,SYS_GR,DEFAULT,F
49,Macrostomida,T,Turbellaria,,Family,4200000,4200000,Macrostomida,,NBNSYS0100012906,,,,,,,,,F,,,,,0,,,,,,,,,,F,,,,,,,,F,,,13/10/2015 10:22,SYS_GR,DEFAULT,F
50,Microstomidae,T,Turbellaria,Microstomidae,Family,4210000,4210000,Microstomidae,9368,NBNSYS0100013178,,,,,,,,,F,,,,,0,,,,,,,,,,F,,,,,,,,F,,,13/10/2015 10:22,SYS_GR,DEFAULT,F
51,Microstomum,T,Turbellaria,Microstomidae,Genus,4210100,4210100,Microstomum,,NBNSYS0100013179,,,,,,,,,F,,,,,0,,,,,,,,,,F,,,,,,,,F,,,13/10/2015 10:22,SYS_GR,DEFAULT,F
52,Microstomum lineare,T,Turbellaria,Microstomidae,Species,4210101,4210101,Microstomum lineare,6026,NBNSYS0100013180,,"(O.F.Müller, 1774)",,,,,,,F,,,,,0,,,,,,,,,,F,,,,,,,,F,,,13/10/2015 10:22,SYS_GR,DEFAULT,F
53,Macrostomidae,T,Turbellaria,Macrostomidae,Family,4220000,4220000,Macrostomidae,9366,NBNSYS0100012907,,,,,,,,,F,,,,,0,,,,,,,,,,F,,,,,,,,F,,,13/10/2015 10:22,SYS_GR,DEFAULT,F
54,Macrostomum,T,Turbellaria,Macrostomidae,Genus,4220100,4220100,Macrostomum,,NBNSYS0100012908,,,,,,,,,F,,,,,0,,,,,,,,,,F,,,,,,,,F,,,13/10/2015 10:22,SYS_GR,DEFAULT,F
55,Macrostomum distinguendum,T,Turbellaria,Macrostomidae,Species,4220101,4220101,Macrostomum distinguendum,7376,NBNSYS0100012909,,"(Papi, 1951)",,,,,,,F,,,,,0,,,,,,,,,,F,,,,,,,,F,,,13/10/2015 10:22,SYS_GR,DEFAULT,F
56,Macrostomum johni,T,Turbellaria,Macrostomidae,Species,4220102,4220102,Macrostomum johni,,NBNSYS0100012910,,"Young, 1972",,,,,,,F,,,,,0,,,,,,,,,,F,,,,,,,,F,,,13/10/2015 10:22,SYS_GR,DEFAULT,F
57,Macrostomum rostratum,T,Turbellaria,Macrostomidae,Species,4220103,4220103,Macrostomum rostratum,5939,NBNSYS0100012911,,"Papi, 1851",,,,,,,F,,,,,0,,,,,,,,,,F,,,,,,,,F,,,13/10/2015 10:22,SYS_GR,DEFAULT,F
58,Neorhabdocoela,T,Turbellaria,,Family,4300000,4300000,Neorhabdocoela,,NBNSYS0100013717,,,,,,,,,F,,,,,0,,,,,,,,,,F,,,,,,,,F,,,13/10/2015 10:22,SYS_GR,DEFAULT,F
59,Dalyelliidae,T,Turbellaria,Dalyelliidae,Family,4310000,4310000,Dalyelliidae,,NBNSYS0100011218,,,,,,,,,F,,,,,0,,,,,,,,,,F,,,,,,,,F,,,13/10/2015 10:22,SYS_GR,DEFAULT,F
60,Microdalyellia,T,Turbellaria,Dalyelliidae,Genus,4310100,4310100,Microdalyellia,,NBNSYS0100013150,,,,,,,,,F,,,,,0,,,,,,,,,,F,,,,,,,,F,,,13/10/2015 10:22,SYS_GR,DEFAULT,F
61,Microdalyellia armigera,T,Turbellaria,Dalyelliidae,Species,4310101,4310101,Microdalyellia armigera,11358,NBNSYS0100013151,,"(Schmidt, 1861)",,,,,,,F,,,,,0,,,,,,,,,,F,,,,,,,,F,,,13/10/2015 10:22,SYS_GR,DEFAULT,F
62,Microdalyellia brevimana,T,Turbellaria,Dalyelliidae,Species,4310102,4310102,Microdalyellia brevimana,,NBNSYS0100013152,,"(Beklemischev, 1921)",,,,,,,F,,,,,0,,,,,,,,,,F,,,,,,,,F,,,13/10/2015 10:22,SYS_GR,DEFAULT,F
63,Microdalyellia fairchildi,T,Turbellaria,Dalyelliidae,Species,4310103,4310103,Microdalyellia fairchildi,,NBNSYS0100013153,,"(von Graff, 1911)",,,,,,,F,,,,,0,,,,,,,,,,F,,,,,,,,F,,,13/10/2015 10:22,SYS_GR,DEFAULT,F
64,Microdalyellia kupelwieseri,T,Turbellaria,Dalyelliidae,Species,4310104,4310104,Microdalyellia kupelwieseri,16840,NBNSYS0100013154,,"(Meixner, 1915)",,,,,,,F,,,,,0,,,,,,,,,,F,,,,,,,,F,,,13/10/2015 10:22,SYS_GR,DEFAULT,F
65,Microdalyellia schmidti,T,Turbellaria,Dalyelliidae,Species,4310105,4310105,Microdalyellia schmidti,11360,NBNSYS0100013155,,"(von Graff, 1882)",,,,,,,F,,,,,0,,,,,,,,,,F,,,,,,,,F,,,13/10/2015 10:22,SYS_GR,DEFAULT,F
66,Gieysztoria,T,Turbellaria,Dalyelliidae,Genus,4310200,4310200,Gieysztoria,,NBNSYS0100012087,,,,,,,,,F,,,,,0,,,,,,,,,,F,,,,,,,,F,,,13/10/2015 10:22,SYS_GR,DEFAULT,F
67,Gieysztoria diadema,T,Turbellaria,Dalyelliidae,Species,4310201,4310201,Gieysztoria diadema,16839,NBNSYS0100012088,,"(Hofsten, 1907)",,,,,,,F,,,,,0,,,,,,,,,,F,,,,,,,,F,,,13/10/2015 10:22,SYS_GR,DEFAULT,F
68,Gieysztoria infundibuliformis,T,Turbellaria,Dalyelliidae,Species,4310202,4310202,Gieysztoria infundibuliformis,,NBNSYS0100012089,,"(Fuhrmann, 1894)",,,,,,,F,,,,,0,,,,,,,,,,F,,,,,,,,F,,,13/10/2015 10:22,SYS_GR,DEFAULT,F
69,Gieysztoria rubra,T,Turbellaria,Dalyelliidae,Species,4310203,4310203,Gieysztoria rubra,,NBNSYS0100012090,,"(Fuhrmann, 1894)",,,,,,,F,,,,,0,,,,,,,,,,F,,,,,,,,F,,,13/10/2015 10:22,SYS_GR,DEFAULT,F
70,Castrella,T,Turbellaria,Dalyelliidae,Genus,4310300,4310300,Castrella,,NBNSYS0100009890,,,,,,,,,F,,,,,0,,,,,,,,,,F,,,,,,,,F,,,13/10/2015 10:22,SYS_GR,DEFAULT,F
71,Castrella truncata,T,Turbellaria,Dalyelliidae,Species,4310301,4310301,Castrella truncata,9359,NBNSYS0100009891,,"(Abildgaard, 1789)",,,,,,,F,,,,,0,,,,,,,,,,F,,,,,,,,F,,,13/10/2015 10:22,SYS_GR,DEFAULT,F
72,Dalyellia,T,Turbellaria,Dalyelliidae,Genus,4310400,4310400,Dalyellia,,NBNSYS0100011216,,,,,,,,,F,,,,,0,,,,,,,,,,F,,,,,,,,F,,,13/10/2015 10:22,SYS_GR,DEFAULT,F
73,Dalyellia viridis,T,Turbellaria,Dalyelliidae,Species,4310401,4310401,Dalyellia viridis,7369,NBNSYS0100011217,,(Shaw. 1791),,,,,,,F,,,,,0,,,,,,,,,,F,,,,,,,,F,,,13/10/2015 10:22,SYS_GR,DEFAULT,F
74,Typhloplanidae,T,Turbellaria,Typhloplanidae,Family,4320000,4320000,Typhloplanidae,9375,NBNSYS0100016390,,,,,,,,,F,,,,,0,,,,,,,,,,F,,,,,,,,F,,,13/10/2015 10:22,SYS_GR,DEFAULT,F
75,Typhloplana,T,Turbellaria,Typhloplanidae,Genus,4320100,4320100,Typhloplana,,NBNSYS0100016388,,,,,,,,,F,,,,,0,,,,,,,,,,F,,,,,,,,F,,,13/10/2015 10:22,SYS_GR,DEFAULT,F
76,Typhloplana viridata,T,Turbellaria,Typhloplanidae,Species,4320101,4320101,Typhloplana viridata,,NBNSYS0100016389,,"(Abildgaard, 1789)",,,,,,,F,,,,,0,,,,,,,,,,F,,,,,,,,F,,,13/10/2015 10:22,SYS_GR,DEFAULT,F
77,Castrada,T,Turbellaria,Typhloplanidae,Genus,4320200,4320200,Castrada,,NBNSYS0100009884,,,,,,,,,F,,,,,0,,,,,,,,,,F,,,,,,,,F,,,13/10/2015 10:22,SYS_GR,DEFAULT,F
78,Castrada armata,T,Turbellaria,Typhloplanidae,Species,4320201,4320201,Castrada armata,9378,NBNSYS0100009885,,"(Fuhrmann, 1894)",,,,,,,F,,,,,0,,,,,,,,,,F,,,,,,,,F,,,13/10/2015 10:22,SYS_GR,DEFAULT,F
79,Castrada lanceola,T,Turbellaria,Typhloplanidae,Species,4320202,4320202,Castrada lanceola,,NBNSYS0100009886,,"(Braun, 1885)",,,,,,,F,,,,,0,,,,,,,,,,F,,,,,,,,F,,,13/10/2015 10:22,SYS_GR,DEFAULT,F
80,Castrada luteola,T,Turbellaria,Typhloplanidae,Species,4320203,4320203,Castrada luteola,,NBNSYS0100009887,,von Hofsten 1907,,,,,,,F,,,,,0,,,,,,,,,,F,,,,,,,,F,,,13/10/2015 10:22,SYS_GR,DEFAULT,F
81,Castrada neocomensis,T,Turbellaria,Typhloplanidae,Species,4320204,4320204,Castrada neocomensis,,NBNSYS0100009888,,"Volz, 1898",,,,,,,F,,,,,0,,,,,,,,,,F,,,,,,,,F,,,13/10/2015 10:22,SYS_GR,DEFAULT,F
82,Castrada viridis,T,Turbellaria,Typhloplanidae,Species,4320205,4320205,Castrada viridis,,NBNSYS0100009889,,"Volz, 1898",,,,,,,F,,,,,0,,,,,,,,,,F,,,,,,,,F,,,13/10/2015 10:22,SYS_GR,DEFAULT,F
83,Tetracelis,T,Turbellaria,Typhloplanidae,Genus,4320300,4320300,Tetracelis,,NBNSYS0100016132,,,,,,,,,F,,,,,0,,,,,,,,,,F,,,,,,,,F,,,13/10/2015 10:22,SYS_GR,DEFAULT,F
84,Tetracelis marmorosa,T,Turbellaria,Typhloplanidae,Species,4320301,4320301,Tetracelis marmorosa,,NBNSYS0100016133,,(Muller),,,,,,,F,,,,,0,,,,,,,,,,F,,,,,,,,F,,,13/10/2015 10:22,SYS_GR,DEFAULT,F
85,Strongylostoma,T,Turbellaria,Typhloplanidae,Genus,4320400,4320400,Strongylostoma,,NBNSYS0100015934,,,,,,,,,F,,,,,0,,,,,,,,,,F,,,,,,,,F,,,13/10/2015 10:22,SYS_GR,DEFAULT,F
86,Strongylostoma elongatum,T,Turbellaria,Typhloplanidae,Species,4320401,4320401,Strongylostoma elongatum,,NBNSYS0100015935,,von Hofsten 1907,,,,,,,F,,,,,0,,,,,,,,,,F,,,,,,,,F,,,13/10/2015 10:22,SYS_GR,DEFAULT,F
87,Strongylostoma radiatum,T,Turbellaria,Typhloplanidae,Species,4320402,4320402,Strongylostoma radiatum,,NBNSYS0100015936,,"(Müller, 1773)",,,,,,,F,,,,,0,,,,,,,,,,F,,,,,,,,F,,,13/10/2015 10:22,SYS_GR,DEFAULT,F
88,Olisthanella,T,Turbellaria,Typhloplanidae,Genus,4320500,4320500,Olisthanella,,NBNSYS0100014030,,,,,,,,,F,,,,,0,,,,,,,,,,F,,,,,,,,F,,,13/10/2015 10:22,SYS_GR,DEFAULT,F
89,Olisthanella obtusa,T,Turbellaria,Typhloplanidae,Species,4320501,4320501,Olisthanella obtusa,,NBNSYS0100014031,,"(Schultze, 1851)",,,,,,,F,,,,,0,,,,,,,,,,F,,,,,,,,F,,,13/10/2015 10:22,SYS_GR,DEFAULT,F
90,Rhynchomesostoma,T,Turbellaria,Typhloplanidae,Genus,4320600,4320600,Rhynchomesostoma,,NBNSYS0100015030,,,,,,,,,F,,,,,0,,,,,,,,,,F,,,,,,,,F,,,13/10/2015 10:22,SYS_GR,DEFAULT,F
91,Rhynchomesostoma rostratum,T,Turbellaria,Typhloplanidae,Species,4320601,4320601,Rhynchomesostoma rostratum,9383,NBNSYS0100015031,,"(Müller, 1774)",,,,,,,F,,,,,0,,,,,,,,,,F,,,,,,,,F,,,13/10/2015 10:22,SYS_GR,DEFAULT,F
92,Mesostoma,T,Turbellaria,Typhloplanidae,Genus,4320700,4320700,Mesostoma,,NBNSYS0100013052,,,,,,,,,F,,,,,0,,,,,,,,,,F,,,,,,,,F,,,13/10/2015 10:22,SYS_GR,DEFAULT,F
93,Mesostoma ehrenbergii,T,Turbellaria,Typhloplanidae,Species,4320701,4320701,Mesostoma ehrenbergii,,NBNSYS0100013053,,"(Focke, 1836)",,,,,,,F,,,,,0,,,,,,,,,,F,,,,,,,,F,,,13/10/2015 10:22,SYS_GR,DEFAULT,F
94,Mesostoma lingua,T,Turbellaria,Typhloplanidae,Species,4320702,4320702,Mesostoma lingua,9381,NBNSYS0100013054,,"(Abildgaard, 1789)",,,,,,,F,,,,,0,,,,,,,,,,F,,,,,,,,F,,,13/10/2015 10:22,SYS_GR,DEFAULT,F
95,Mesostoma productum,T,Turbellaria,Typhloplanidae,Species,4320703,4320703,Mesostoma productum,,NBNSYS0100013055,,"(Schmidt, 1848)",,,,,,,F,,,,,0,,,,,,,,,,F,,,,,,,,F,,,13/10/2015 10:22,SYS_GR,DEFAULT,F
96,Mesostoma tetragonum,T,Turbellaria,Typhloplanidae,Species,4320704,4320704,Mesostoma tetragonum,14399,NBNSYS0100013056,,"(Müller, 1774)",,,,,,,F,,,,,0,,,,,,,,,,F,,,,,,,,F,,,13/10/2015 10:22,SYS_GR,DEFAULT,F
97,Bothromesostoma,T,Turbellaria,Typhloplanidae,Genus,4320800,4320800,Bothromesostoma,,NBNSYS0100009682,,,,,,,,,F,,,,,0,,,,,,,,,,F,,,,,,,,F,,,13/10/2015 10:22,SYS_GR,DEFAULT,F
98,Bothromesostoma personatum,T,Turbellaria,Typhloplanidae,Species,4320801,4320801,Bothromesostoma personatum,9376,NBNSYS0100009683,,"(Schmidt, 1848)",,,,,,,F,,,,,0,,,,,,,,,,F,,,,,,,,F,,,13/10/2015 10:22,SYS_GR,DEFAULT,F
99,Phaenocora,T,Turbellaria,Typhloplanidae,Genus,4320900,4320900,Phaenocora,,NBNSYS0100014293,,,,,,,,,F,,,,,0,,,,,,,,,,F,,,,,,,,F,,,13/10/2015 10:22,SYS_GR,DEFAULT,F
100,Phaenocora typhlops,T,Turbellaria,Typhloplanidae,Species,4320901,4320901,Phaenocora typhlops,,NBNSYS0100014294,,"(Vejdovsky, 1880)",,,,,,,F,,,,,0,,,,,,,,,,F,,,,,,,,F,,,13/10/2015 10:22,SYS_GR,DEFAULT,F
101,Phaenocora unipunctata,T,Turbellaria,Typhloplanidae,Species,4320902,4320902,Phaenocora unipunctata,14403,NBNSYS0100014295,,"Orsted, 1843",,,,,,,F,,,,,0,,,,,,,,,,F,,,,,,,,F,,,13/10/2015 10:22,SYS_GR,DEFAULT,F
102,Opistomum,T,Turbellaria,Typhloplanidae,Genus,4321000,4321000,Opistomum,,NBNSYS0100014066,,,,,,,,,F,,,,,0,,,,,,,,,,F,,,,,,,,F,,,13/10/2015 10:22,SYS_GR,DEFAULT,F
